13:36:24 [Skill] INFO  Skill:135 - Connecting to broker 10.0.47.193:1932...
13:36:24 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:25 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:25 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:25 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:25 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:25 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:25 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:25 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:25 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:25 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:25 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:26 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:26 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:26 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:26 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:26 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:26 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:26 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:26 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:26 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:27 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:27 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:27 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:27 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:27 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:27 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:27 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:27 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:27 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:27 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:28 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:28 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:28 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:28 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:28 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:28 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:28 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:28 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:28 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:28 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:29 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:29 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:29 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:29 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:29 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:29 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:29 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:29 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:29 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:30 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:30 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:30 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:30 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:30 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:30 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:30 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
13:36:30 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
